station,latitude,longitude,transfer_time
12th Street,37.803608,-122.272006,282
16th Street Mission,37.764847,-122.420042,287
19th Street,37.807869,-122.26898,67
24th Street Mission,37.752,-122.4187,277
Antioch,37.996281,-121.783404,0
Ashby,37.853068,-122.269957,299
Balboa Park,37.721667,-122.4475,48
Bay Fair,37.697,-122.1265,63
Berryessa,37.368361,-121.874655,288
Castro Valley,37.690748,-122.075679,0
Civic Center,37.779861,-122.413498,325
Coliseum,37.753611,-122.196944,54
Colma,37.684722,-122.466111,276
Concord,37.973745,-122.029127,0
Daly City,37.706224,-122.468934,285
Downtown Berkeley,37.869799,-122.268197,323
Dublin,37.701663,-121.899232,0
El Cerrito Plaza,37.902694,-122.298968,280
El Cerrito del Norte,37.925183,-122.316939,311
Embarcadero,37.793056,-122.397222,304
Fremont,37.557489,-121.97662 ,306
Fruitvale,37.7748,-122.2241,279
Glen Park,37.733118,-122.433808,314
Hayward,37.6697,-122.087,284
Lafayette,37.893186,-122.124614,0
Lake Merritt,37.797773,-122.266588,309
MacArthur,37.82826,-122.267275,59
Millbrae,37.6003,-122.3867,0
Milpitas,37.410278,-121.891111,292
Montgomery Street,37.789355,-122.401942,313
North Berkeley,37.873915,-122.282552,289
North Concord,38.003273,-122.024599,0
OAK,37.7132,-122.2122,0
Orinda,37.878427,-122.18374,0
Pittsburg,38.018869,-121.944208,0
Pittsburg Center,38.018227,-121.890178,0
Pleasant Hill,37.928399,-122.055992,0
Powell Street,37.784,-122.408,286
Richmond,37.936811,-122.353095,302
Rockridge,37.844452,-122.252083,0
SFO,37.6164,-122.391,291
San Bruno,37.6383,-122.4165,307
San Leandro,37.721764,-122.160684,298
South Hayward,37.634362,-122.057172,319
South San Francisco,37.664264,-122.444043,316
Union City,37.590746,-122.017282,293
Walnut Creek,37.905724,-122.067332,0
Warm Springs,37.503,-121.94,278
West Dublin,37.699726,-121.928273,0
West Oakland,37.8049,-122.2951,283
